"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2024","198.00","202.00","202.50","198.00","188.13K","-1.98%"
"02/07/2024","202.00","202.00","203.00","201.50","77.60K","0.12%"
"01/07/2024","201.75","202.00","205.00","201.75","34.13K","-1.59%"
"28/06/2024","205.00","203.25","205.00","200.00","271.27K","0.99%"
"27/06/2024","203.00","207.00","207.00","203.00","49.53K","-1.81%"
"26/06/2024","206.75","208.00","208.00","204.50","146.11K","0.36%"
"25/06/2024","206.00","205.00","208.00","205.00","401.78K","0.49%"
"24/06/2024","205.00","201.50","205.75","201.50","76.75K","1.86%"
"20/06/2024","201.25","200.00","202.00","200.00","225.32K","0.63%"
"19/06/2024","200.00","201.00","201.00","199.50","61.76K","0.00%"
"18/06/2024","200.00","201.00","202.00","200.00","574.86K","-1.48%"
"14/06/2024","203.00","202.00","204.00","200.50","86.62K","-0.73%"
"13/06/2024","204.50","205.00","205.00","203.00","85.60K","-0.24%"
"12/06/2024","205.00","205.75","205.75","204.25","94.38K","0.00%"
"11/06/2024","205.00","205.25","206.50","204.50","572.24K","-0.36%"
"10/06/2024","205.75","206.50","208.00","205.00","434.05K","-0.12%"
"07/06/2024","206.00","205.00","206.00","204.00","1.25M","1.48%"
"06/06/2024","203.00","203.00","206.00","201.75","623.87K","-0.25%"
"05/06/2024","203.50","197.00","203.75","197.00","437.73K","4.36%"
"04/06/2024","195.00","195.00","197.00","194.25","20.34K","-0.51%"
"03/06/2024","196.00","197.00","197.00","194.00","16.46K","-0.51%"
"31/05/2024","197.00","193.00","198.25","193.00","10.28K","1.03%"
"30/05/2024","195.00","193.00","195.00","193.00","209.87K","0.52%"
"29/05/2024","194.00","196.25","196.25","194.00","61.15K","-1.02%"
"28/05/2024","196.00","199.00","199.00","195.25","57.04K","-1.88%"
"27/05/2024","199.75","199.50","200.00","198.00","66.18K","0.88%"
"22/05/2024","198.00","195.75","200.00","195.75","744.29K","1.15%"
"21/05/2024","195.75","194.50","195.75","193.75","84.24K","0.38%"
"20/05/2024","195.00","195.25","195.50","194.00","220.85K","-0.26%"
"17/05/2024","195.50","196.00","196.00","192.50","295.10K","-0.76%"
"16/05/2024","197.00","197.00","197.00","193.00","409.46K","1.03%"
"15/05/2024","195.00","200.75","201.75","195.00","218.18K","-2.50%"
"14/05/2024","200.00","203.00","203.00","198.00","444.74K","-1.48%"
"13/05/2024","203.00","203.00","204.00","202.25","220.89K","-0.49%"
"10/05/2024","204.00","203.75","205.00","202.00","133.37K","0.49%"
"09/05/2024","203.00","197.00","204.00","196.00","371.79K","2.65%"
"08/05/2024","197.75","197.50","198.50","197.00","164.68K","-0.13%"
"07/05/2024","198.00","200.00","200.00","197.00","178.94K","-1.00%"
"06/05/2024","200.00","201.00","201.00","198.50","34.88K","-0.62%"
"03/05/2024","201.25","199.50","202.00","199.50","168.46K","0.00%"
"02/05/2024","201.25","204.50","204.50","200.00","187.52K","-1.59%"
"30/04/2024","204.50","204.75","206.50","200.25","326.61K","0.49%"
"29/04/2024","203.50","200.00","205.00","199.00","418.47K","1.75%"
"26/04/2024","200.00","197.00","200.25","197.00","483.40K","1.52%"
"25/04/2024","197.00","188.25","197.25","188.25","116.70K","4.23%"
"24/04/2024","189.00","190.00","193.00","189.00","72.90K","-0.79%"
"22/04/2024","190.50","190.00","195.00","188.00","75.72K","0.26%"
"19/04/2024","190.00","192.00","192.00","188.00","361.82K","-1.04%"
"18/04/2024","192.00","195.00","195.00","192.00","343.56K","-1.03%"
"17/04/2024","194.00","196.50","196.50","193.00","1.14M","-1.27%"
"16/04/2024","196.50","199.00","199.00","195.00","161.86K","-1.26%"
"15/04/2024","199.00","203.00","204.00","197.00","606.76K","-2.45%"
"10/04/2024","204.00","202.00","205.50","202.00","385.84K","1.49%"
"09/04/2024","201.00","200.00","201.50","195.75","454.39K","0.50%"
"08/04/2024","200.00","201.00","202.75","199.25","400.72K","0.00%"
"05/04/2024","200.00","195.00","200.50","193.00","2.90M","2.56%"
"04/04/2024","195.00","191.00","196.75","191.00","1.27M","2.36%"
"03/04/2024","190.50","181.00","192.00","181.00","492.67K","2.97%"
"02/04/2024","185.00","180.00","186.00","180.00","287.20K","1.65%"
"01/04/2024","182.00","175.00","185.00","170.00","870.79K","3.36%"
"28/03/2024","176.08","174.36","178.28","174.36","987.56K","1.55%"
"27/03/2024","173.38","170.93","174.36","170.93","299.08K","1.43%"
"26/03/2024","170.93","162.85","171.18","162.85","720.95K","4.49%"
"25/03/2024","163.59","163.34","164.32","163.34","10.65K","0.60%"
"22/03/2024","162.61","158.69","163.10","158.69","604.26K","2.47%"
"21/03/2024","158.69","162.61","162.61","157.71","7.04K","-2.41%"
"20/03/2024","162.61","163.59","163.59","147.91","127.94K","-0.45%"
"19/03/2024","163.34","164.57","165.30","163.10","446.75K","0.15%"
"18/03/2024","163.10","163.59","165.06","162.61","410.71K","0.30%"
"15/03/2024","162.61","162.61","163.59","161.63","321.66K","-2.34%"
"14/03/2024","166.50","169.00","169.00","165.75","150.34K","-0.30%"
"13/03/2024","167.00","160.25","168.00","160.25","240.93K","3.25%"
"12/03/2024","161.75","159.75","161.75","159.50","292.19K","1.25%"
"11/03/2024","159.75","158.00","162.00","158.00","229.93K","-0.16%"
"07/03/2024","160.00","157.50","160.00","156.00","894.25K","1.91%"
"06/03/2024","157.00","158.00","158.00","156.25","21.12K","0.64%"
"05/03/2024","156.00","158.75","158.75","156.00","231.05K","-1.89%"
"04/03/2024","159.00","159.00","160.00","159.00","71.05K","0.79%"
"01/03/2024","157.75","156.00","161.00","156.00","10.92K","1.77%"
"29/02/2024","155.00","159.75","159.75","155.00","36.17K","-2.21%"
"28/02/2024","158.50","159.75","159.75","157.50","82.01K","0.32%"
"27/02/2024","158.00","160.00","160.00","157.50","54.83K","0.00%"
"26/02/2024","158.00","159.75","160.00","157.75","159.44K","-0.32%"
"22/02/2024","158.50","159.75","159.75","158.25","140.30K","-0.78%"
"21/02/2024","159.75","160.00","161.50","158.25","388.60K","-0.16%"
"20/02/2024","160.00","162.25","162.25","160.00","89.36K","-1.39%"
"19/02/2024","162.25","164.75","164.75","160.00","10.19K","-0.46%"
"16/02/2024","163.00","165.00","165.00","163.00","324.72K","0.46%"
"15/02/2024","162.25","164.00","164.00","162.00","127.11K","-0.46%"
"14/02/2024","163.00","162.25","164.00","162.00","11.53K","0.62%"
"13/02/2024","162.00","164.00","164.00","162.00","21.71K","-0.61%"
"12/02/2024","163.00","161.50","165.00","161.50","57.78K","1.56%"
"09/02/2024","160.50","161.00","165.00","160.00","245.57K","-0.62%"
"08/02/2024","161.50","160.00","165.00","160.00","103.01K","0.94%"
"07/02/2024","160.00","167.00","167.00","160.00","59.54K","-0.62%"
"06/02/2024","161.00","159.00","167.00","159.00","166.31K","1.26%"
"02/02/2024","159.00","160.00","160.00","157.00","57.11K","0.63%"
"01/02/2024","158.00","159.00","160.00","155.00","205.66K","1.61%"
"31/01/2024","155.50","154.00","155.50","154.00","608.12K","0.32%"
"30/01/2024","155.00","155.00","155.00","153.00","336.65K","0.00%"
"29/01/2024","155.00","157.25","157.50","155.00","102.45K","-1.59%"
"26/01/2024","157.50","158.75","158.75","157.50","4.14K","-0.32%"
"24/01/2024","158.00","159.00","159.00","158.00","9.91K","-0.63%"
"23/01/2024","159.00","159.00","159.00","157.00","5.48K","0.00%"
"22/01/2024","159.00","162.00","162.00","159.00","2.79K","0.00%"
"19/01/2024","159.00","160.25","164.00","159.00","13.36K","-0.63%"
"18/01/2024","160.00","161.25","162.00","159.50","51.23K","-0.62%"
"17/01/2024","161.00","163.75","163.75","161.00","18.11K","-1.68%"
"16/01/2024","163.75","164.00","164.00","163.00","52.71K","-0.15%"
"12/01/2024","164.00","165.00","165.00","164.00","9.63K","-0.61%"
"11/01/2024","165.00","165.00","166.00","164.00","3.52K","-0.90%"
"10/01/2024","166.50","166.50","167.75","165.00","114.68K","-0.60%"
"09/01/2024","167.50","168.00","168.00","167.00","3.52K","0.75%"
"08/01/2024","166.25","166.50","169.75","166.00","8.91K","-0.45%"
"05/01/2024","167.00","170.00","170.00","167.00","47.19K","-1.18%"
"04/01/2024","169.00","172.00","172.00","168.50","4.69K","-1.17%"
"03/01/2024","171.00","170.00","172.00","170.00","98.45K","0.59%"
"02/01/2024","170.00","166.00","171.00","166.00","131.04K","0.00%"
