"Date","Price","Open","High","Low","Vol.","Change %"
"18/06/2024","106.25","108.25","109.00","106.00","73.23K","-1.85%"
"14/06/2024","108.25","109.00","109.00","108.00","138.86K","-1.14%"
"13/06/2024","109.50","109.75","110.00","108.25","782.89K","0.46%"
"12/06/2024","109.00","110.00","110.00","108.50","80.26K","0.93%"
"11/06/2024","108.00","109.25","110.25","108.00","351.80K","-1.14%"
"10/06/2024","109.25","108.00","109.25","108.00","765.34K","0.69%"
"07/06/2024","108.50","110.00","110.00","108.00","118.10K","0.70%"
"06/06/2024","107.75","105.50","110.00","105.50","327.05K","1.65%"
"05/06/2024","106.00","105.25","106.75","105.25","340.50K","0.24%"
"04/06/2024","105.75","106.50","106.75","105.00","55.73K","-0.70%"
"03/06/2024","106.50","106.75","106.75","105.50","141.45K","0.95%"
"31/05/2024","105.50","107.75","107.75","105.25","224.24K","-1.86%"
"30/05/2024","107.50","104.50","107.50","104.50","555.92K","3.37%"
"29/05/2024","104.00","109.00","109.00","100.00","2.15M","-7.56%"
"28/05/2024","112.50","113.00","113.25","112.00","31.34K","-0.66%"
"27/05/2024","113.25","114.50","115.00","113.00","82.99K","-1.09%"
"22/05/2024","114.50","112.25","114.75","112.00","191.18K","2.00%"
"21/05/2024","112.25","111.00","112.25","111.00","219.37K","0.22%"
"20/05/2024","112.00","112.50","113.50","109.00","69.08K","-1.32%"
"17/05/2024","113.50","114.00","114.00","111.75","154.88K","-0.44%"
"16/05/2024","114.00","114.75","116.00","113.25","187.05K","-0.44%"
"15/05/2024","114.50","117.00","117.50","114.00","216.21K","-1.08%"
"14/05/2024","115.75","115.50","117.00","112.00","546.94K","-0.86%"
"13/05/2024","116.75","117.00","117.50","115.75","211.38K","-0.21%"
"10/05/2024","117.00","114.50","117.25","114.50","425.58K","2.18%"
"09/05/2024","114.50","113.25","114.50","113.00","313.97K","0.44%"
"08/05/2024","114.00","113.50","115.00","113.00","226.34K","0.00%"
"07/05/2024","114.00","112.75","114.25","112.50","261.12K","1.33%"
"06/05/2024","112.50","114.00","114.50","112.50","215.55K","-1.75%"
"03/05/2024","114.50","115.00","115.25","114.00","563.13K","-0.43%"
"02/05/2024","115.00","115.00","115.75","114.25","511.92K","0.00%"
"30/04/2024","115.00","116.75","116.75","114.00","346.97K","-0.86%"
"29/04/2024","116.00","115.00","116.75","115.00","941.01K","1.31%"
"26/04/2024","114.50","110.00","114.75","110.00","732.27K","4.09%"
"25/04/2024","110.00","106.00","110.75","106.00","1.77M","3.77%"
"24/04/2024","106.00","106.00","106.50","105.50","469.06K","-0.24%"
"22/04/2024","106.25","104.50","107.00","104.00","554.99K","1.67%"
"19/04/2024","104.50","104.50","105.50","102.50","346.83K","-1.42%"
"18/04/2024","106.00","105.75","107.00","105.00","707.78K","0.71%"
"17/04/2024","105.25","104.00","107.50","100.75","500.65K","1.20%"
"16/04/2024","104.00","109.00","110.00","102.00","470.33K","-5.45%"
"15/04/2024","110.00","111.50","112.00","108.25","380.61K","-1.79%"
"10/04/2024","112.00","110.00","112.25","110.00","747.15K","1.82%"
"09/04/2024","110.00","110.00","110.25","106.50","1.37M","0.69%"
"08/04/2024","109.25","106.25","111.00","106.25","1.53M","3.07%"
"05/04/2024","106.00","100.00","106.50","99.80","2.65M","6.11%"
"04/04/2024","99.90","97.40","100.50","97.10","829.00K","2.46%"
"03/04/2024","97.50","95.00","97.50","94.70","1.29M","3.17%"
"02/04/2024","94.50","95.00","96.00","94.50","370.80K","-0.21%"
"01/04/2024","94.70","95.70","95.70","91.80","373.68K","-2.05%"
"28/03/2024","96.69","94.43","96.78","94.43","668.41K","2.07%"
"27/03/2024","94.72","94.43","95.21","93.94","221.09K","0.31%"
"26/03/2024","94.43","92.27","94.43","92.27","352.24K","1.48%"
"25/03/2024","93.05","93.25","93.25","92.76","11.26K","-0.11%"
"22/03/2024","93.15","92.07","93.25","91.68","286.69K","1.17%"
"21/03/2024","92.07","92.47","92.56","91.78","117.72K","-0.32%"
"20/03/2024","92.37","93.05","93.05","92.27","42.48K","-0.53%"
"19/03/2024","92.86","93.54","93.54","92.27","174.49K","-0.63%"
"18/03/2024","93.45","93.15","93.74","92.76","186.24K","0.21%"
"15/03/2024","93.25","93.15","93.25","92.76","66.09K","-1.74%"
"14/03/2024","94.90","94.00","94.90","94.00","39.04K","0.74%"
"13/03/2024","94.20","94.00","94.30","93.00","170.99K","0.21%"
"12/03/2024","94.00","94.50","94.50","92.60","177.51K","0.00%"
"11/03/2024","94.00","92.00","94.80","92.00","298.41K","2.17%"
"07/03/2024","92.00","92.50","92.50","91.00","101.85K","1.32%"
"06/03/2024","90.80","90.10","92.00","90.10","59.92K","0.22%"
"05/03/2024","90.60","88.60","91.40","88.00","70.82K","2.60%"
"04/03/2024","88.30","89.00","89.00","88.00","11.90K","-0.23%"
"01/03/2024","88.50","90.00","90.00","88.50","10.05K","-1.78%"
"29/02/2024","90.10","90.40","90.40","89.90","2.18M","-0.33%"
"28/02/2024","90.40","91.00","91.00","90.20","35.54K","-0.66%"
"27/02/2024","91.00","91.20","91.20","90.30","456.09K","-0.55%"
"26/02/2024","91.50","91.20","92.90","91.00","55.29K","-0.11%"
"22/02/2024","91.60","91.10","91.60","90.90","180.10K","0.55%"
"21/02/2024","91.10","91.00","91.40","90.60","255.22K","0.11%"
"20/02/2024","91.00","91.10","91.50","90.30","128.71K","0.00%"
"19/02/2024","91.00","90.00","91.50","89.60","434.43K","1.22%"
"16/02/2024","89.90","89.00","90.00","89.00","169.15K","0.45%"
"15/02/2024","89.50","88.60","89.50","88.40","1.20M","1.02%"
"14/02/2024","88.60","89.00","89.00","88.50","25.95K","-1.01%"
"13/02/2024","89.50","89.90","89.90","88.80","803.45K","0.00%"
"12/02/2024","89.50","89.70","89.90","89.30","47.95K","0.00%"
"09/02/2024","89.50","89.50","89.50","88.80","154.75K","0.00%"
"08/02/2024","89.50","89.00","89.70","88.90","106.11K","0.56%"
"07/02/2024","89.00","88.00","89.00","88.00","98.73K","1.48%"
"06/02/2024","87.70","88.50","88.50","87.50","485.25K","-0.34%"
"02/02/2024","88.00","89.00","89.00","87.90","93.54K","-1.12%"
"01/02/2024","89.00","87.00","89.00","86.10","572.07K","2.18%"
"31/01/2024","87.10","86.70","87.10","86.00","70.96K","0.00%"
"30/01/2024","87.10","88.40","88.40","87.00","45.56K","-1.02%"
"29/01/2024","88.00","87.50","88.70","87.40","69.14K","0.23%"
"26/01/2024","87.80","87.90","88.00","87.70","225.11K","0.11%"
"24/01/2024","87.70","87.80","88.00","87.50","82.34K","0.00%"
"23/01/2024","87.70","88.50","88.50","87.50","4.76K","-0.11%"
"22/01/2024","87.80","89.30","89.30","87.50","268.52K","-1.90%"
"19/01/2024","89.50","88.00","89.80","88.00","29.06K","0.90%"
"18/01/2024","88.70","89.10","89.80","88.00","34.07K","-1.44%"
"17/01/2024","90.00","91.30","91.30","90.00","77.54K","-1.10%"
"16/01/2024","91.00","91.40","91.50","90.60","365.11K","-0.55%"
"12/01/2024","91.50","92.10","92.40","91.20","150.62K","-0.33%"
"11/01/2024","91.80","93.30","93.30","91.80","526.80K","-1.61%"
"10/01/2024","93.30","94.30","94.70","93.00","132.18K","-0.85%"
"09/01/2024","94.10","95.00","95.00","94.00","19.42K","-0.95%"
"08/01/2024","95.00","95.20","95.50","94.00","351.58K","-1.04%"
"05/01/2024","96.00","96.20","96.20","95.00","238.33K","0.42%"
"04/01/2024","95.60","96.00","96.00","95.20","377.34K","-0.42%"
"03/01/2024","96.00","96.00","97.50","95.70","218.63K","-0.83%"
"02/01/2024","96.80","95.50","98.00","94.50","120.59K","1.36%"
