"Date","Price","Open","High","Low","Vol.","Change %"
"29/05/2024","280.00","280.00","280.00","279.75","0.15K","-0.71%"
"27/05/2024","282.00","282.00","282.00","282.00","0.02K","0.71%"
"22/05/2024","280.00","274.00","288.75","274.00","46.14K","2.47%"
"20/05/2024","273.25","275.00","280.00","273.25","0.54K","-3.45%"
"17/05/2024","283.00","284.00","284.00","283.00","0.03K","-0.35%"
"16/05/2024","284.00","272.00","284.00","272.00","0.06K","-0.18%"
"15/05/2024","284.50","288.00","288.00","280.00","0.36K","4.98%"
"14/05/2024","271.00","282.00","282.00","270.00","0.09K","0.37%"
"13/05/2024","270.00","289.00","289.00","270.00","0.09K","-3.57%"
"10/05/2024","280.00","280.00","289.00","280.00","0.60K","0.00%"
"09/05/2024","280.00","275.00","280.00","270.00","0.06K","1.82%"
"08/05/2024","275.00","270.25","275.00","270.00","0.68K","-2.14%"
"07/05/2024","281.00","265.00","281.00","265.00","0.73K","0.36%"
"06/05/2024","280.00","265.00","289.00","265.00","1.57K","0.00%"
"03/05/2024","280.00","265.00","280.00","265.00","0.25K","5.66%"
"02/05/2024","265.00","259.25","265.00","259.25","0.26K","2.32%"
"30/04/2024","259.00","251.50","259.25","251.50","0.21K","1.57%"
"29/04/2024","255.00","255.00","255.00","255.00","0.01K","-1.54%"
"26/04/2024","259.00","250.75","259.00","250.75","0.04K","3.29%"
"25/04/2024","250.75","251.00","260.00","250.25","20.06K","-5.29%"
"22/04/2024","264.75","265.25","265.25","264.75","0.00K","5.90%"
"19/04/2024","250.00","250.00","250.00","250.00","12.00K","-3.75%"
"18/04/2024","259.75","251.00","259.75","251.00","1.93K","-0.10%"
"17/04/2024","260.00","250.00","260.00","250.00","4.10K","4.00%"
"16/04/2024","250.00","251.00","251.00","249.00","6.19K","0.00%"
"15/04/2024","250.00","253.00","256.00","249.00","4.24K","-1.38%"
"10/04/2024","253.50","253.25","253.50","253.00","0.06K","-3.61%"
"09/04/2024","263.00","255.00","263.00","248.00","1.40K","3.14%"
"08/04/2024","255.00","259.75","259.75","253.25","0.36K","0.00%"
