"Date","Price","Open","High","Low","Vol.","Change %"
"24/07/2024","76.80","75.80","76.80","75.70","48.88K","1.19%"
"23/07/2024","75.90","76.00","76.40","75.60","137.51K","-0.39%"
"22/07/2024","76.20","76.80","76.80","76.00","193.22K","-0.78%"
"19/07/2024","76.80","77.60","77.60","76.10","103.24K","-0.90%"
"18/07/2024","77.50","77.70","78.00","77.30","289.41K","-0.26%"
"17/07/2024","77.70","78.00","78.00","77.50","27.24K","0.13%"
"16/07/2024","77.60","77.60","78.00","77.50","282.75K","0.65%"
"15/07/2024","77.10","76.60","77.50","76.60","138.69K","0.00%"
"12/07/2024","77.10","76.60","77.30","76.60","78.11K","-0.26%"
"11/07/2024","77.30","77.50","77.50","76.70","68.72K","-0.26%"
"10/07/2024","77.50","76.80","77.50","76.70","59.73K","0.91%"
"09/07/2024","76.80","77.20","77.90","76.10","227.05K","-1.54%"
"08/07/2024","78.00","78.50","78.50","77.20","856.02K","0.00%"
"05/07/2024","78.00","78.90","79.20","78.00","69.80K","0.00%"
"04/07/2024","78.00","79.90","79.90","77.90","3.36M","-1.27%"
"03/07/2024","79.00","79.10","79.90","78.80","357.28K","0.00%"
"02/07/2024","79.00","77.80","79.20","77.80","949.88K","1.80%"
"01/07/2024","77.60","78.50","79.00","77.60","233.13K","-1.15%"
"28/06/2024","78.50","78.80","78.80","77.90","2.13M","-0.25%"
"27/06/2024","78.70","79.90","79.90","78.00","421.41K","-0.38%"
"26/06/2024","79.00","79.80","79.90","78.80","428.05K","-0.63%"
"25/06/2024","79.50","79.50","79.70","79.10","156.78K","0.00%"
"24/06/2024","79.50","79.70","80.00","79.20","503.96K","-0.25%"
"20/06/2024","79.70","79.50","79.70","79.10","115.93K","0.25%"
"19/06/2024","79.50","79.80","79.80","79.00","167.97K","-0.25%"
"18/06/2024","79.70","80.10","80.10","79.10","193.67K","-0.50%"
"14/06/2024","80.10","80.50","80.50","79.60","199.42K","-0.25%"
"13/06/2024","80.30","82.00","82.40","79.90","543.34K","-0.62%"
"12/06/2024","80.80","80.50","80.90","80.40","438.17K","0.25%"
"11/06/2024","80.60","80.80","81.00","80.60","1.81M","-0.25%"
"10/06/2024","80.80","80.50","81.10","80.10","743.70K","0.37%"
"07/06/2024","80.50","80.00","80.60","79.80","1.88M","0.75%"
"06/06/2024","79.90","78.50","81.00","78.50","778.82K","1.78%"
"05/06/2024","78.50","78.00","78.60","77.60","343.48K","0.77%"
"04/06/2024","77.90","78.00","78.20","77.00","223.30K","-0.13%"
"03/06/2024","78.00","78.40","78.40","77.00","212.63K","-0.51%"
"31/05/2024","78.40","78.70","78.90","78.10","94.04K","-0.25%"
"30/05/2024","78.60","78.00","78.80","77.20","432.69K","1.29%"
"29/05/2024","77.60","77.80","78.00","77.00","368.67K","-0.51%"
"28/05/2024","78.00","78.20","78.90","77.50","860.49K","-0.13%"
"27/05/2024","78.10","78.00","78.90","78.00","147.69K","0.00%"
"22/05/2024","78.10","78.00","78.50","77.80","246.87K","0.13%"
"21/05/2024","78.00","78.90","78.90","77.50","680.86K","0.26%"
"20/05/2024","77.80","77.80","78.10","77.50","230.29K","0.00%"
"17/05/2024","77.80","77.50","78.00","77.30","185.48K","0.52%"
"16/05/2024","77.40","78.10","79.00","77.00","247.87K","-0.90%"
"15/05/2024","78.10","79.70","79.80","77.70","695.85K","-1.26%"
