"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","10.60","10.40","10.60","10.40","185.82K","1.92%"
"02/29/2024","10.40","10.50","10.60","10.40","1.54M","-0.95%"
"02/28/2024","10.50","10.50","10.60","10.40","2.12M","0.00%"
"02/27/2024","10.50","10.60","10.60","10.40","42.15M","-0.94%"
"02/26/2024","10.60","10.50","10.60","10.40","4.57M","0.95%"
"02/22/2024","10.50","10.50","10.60","10.40","2.66M","0.00%"
"02/21/2024","10.50","10.30","10.60","10.30","2.65M","1.94%"
"02/20/2024","10.30","10.30","10.40","10.20","1.61M","0.98%"
"02/19/2024","10.20","10.10","10.50","10.10","4.19M","3.03%"
"02/16/2024","9.90","9.70","9.90","9.60","3.25M","3.12%"
"02/15/2024","9.60","9.70","9.80","9.60","2.05M","-1.03%"
"02/14/2024","9.70","9.60","9.80","9.60","468.15K","1.04%"
"02/13/2024","9.60","9.50","9.60","9.50","2.26M","2.13%"
"02/12/2024","9.40","9.40","9.60","9.30","2.15M","0.00%"
"02/09/2024","9.40","9.30","9.50","9.30","389.15K","1.08%"
"02/08/2024","9.30","9.30","9.50","9.20","1.05M","1.09%"
"02/07/2024","9.20","9.30","9.30","9.10","324.24K","-1.08%"
"02/06/2024","9.30","9.20","9.30","9.20","120.29K","0.00%"
"02/02/2024","9.30","9.10","9.30","9.00","181.27K","3.33%"
"02/01/2024","9.00","9.10","9.20","9.00","4.39M","0.00%"
"01/31/2024","9.00","9.00","9.10","9.00","3.86M","0.00%"
"01/30/2024","9.00","9.00","9.10","8.90","17.56M","1.12%"
"01/29/2024","8.90","8.90","9.00","8.90","4.31M","1.14%"
"01/26/2024","8.80","8.80","8.80","8.70","2.22M","2.33%"
"01/24/2024","8.60","8.70","8.70","8.60","1.05M","-1.15%"
"01/23/2024","8.70","8.80","8.80","8.60","475.28K","-1.14%"
"01/22/2024","8.80","8.80","9.00","8.70","180.38K","-1.12%"
"01/19/2024","8.90","9.00","9.00","8.80","9.13K","-1.11%"
"01/18/2024","9.00","8.70","9.00","8.70","5.49K","3.45%"
"01/17/2024","8.70","8.90","8.90","8.70","13.17K","-1.14%"
"01/16/2024","8.80","9.00","9.00","8.80","1.23M","-2.22%"
"01/12/2024","9.00","8.80","9.00","8.70","2.53M","2.27%"
"01/11/2024","8.80","9.00","9.00","8.70","3.43M","-1.12%"
"01/10/2024","8.90","9.00","9.00","8.80","111.01K","-1.11%"
"01/09/2024","9.00","8.90","9.00","8.70","6.00M","0.00%"
"01/08/2024","9.00","9.00","9.00","8.80","3.08M","0.00%"
"01/05/2024","9.00","8.80","9.10","8.80","35.13K","3.45%"
"01/04/2024","8.70","9.00","9.00","8.70","424.16K","-2.25%"
"01/03/2024","8.90","9.00","9.10","8.90","167.37K","0.00%"
"01/02/2024","8.90","8.90","9.00","8.90","154.09K","-1.11%"
